"Label (Grouping)","Total:!!Agriculture, forestry, fishing and hunting, and mining","Total:!!Construction","Total:!!Manufacturing","Total:!!Wholesale trade","Total:!!Retail trade","Total:!!Transportation and warehousing, and utilities","Total:!!Information","Total:!!Finance and insurance, and real estate and rental and leasing","Total:!!Professional, scientific, and management, and administrative and waste management services","Total:!!Educational services, and health care and social assistance","Total:!!Arts, entertainment, and recreation, and accommodation and food services","Total:!!Other services, except public administration","Total:!!Public administration"
"    Estimate","923","4,783","18,108","2,952","12,128","5,942","1,202","8,915","9,371","39,027","10,247","6,063","3,913"
"Eugene-Springfield, OR Metro Area","","","","","","","","","","","","",""
"    Estimate","5,247","11,419","17,045","3,474","21,528","6,223","2,434","8,680","21,336","51,379","15,694","9,565","8,655"
"Evansville, IN Metro Area","","","","","","","","","","","","",""
"    Estimate","1,346","6,984","23,592","2,532","14,901","7,485","1,732","8,231","14,309","30,205","12,234","5,540","3,361"
"Fairbanks-College, AK Metro Area","","","","","","","","","","","","",""
"    Estimate","1,858","2,900","1,484","554","5,224","3,009","476","1,220","4,275","11,875","2,924","2,110","3,177"
"Fargo, ND-MN Metro Area","","","","","","","","","","","","",""
"    Estimate","3,315","10,355","12,896","5,489","16,305","5,908","3,125","13,466","14,299","40,802","10,509","6,720","5,465"
"Farmington, NM Metro Area","","","","","","","","","","","","",""
"    Estimate","3,959","3,198","2,430","520","6,965","3,056","868","2,215","2,271","12,686","6,616","2,305","2,803"
"Fayetteville, NC Metro Area","","","","","","","","","","","","",""
"    Estimate","960","9,651","14,119","1,947","19,489","10,688","1,702","5,805","16,404","39,591","13,123","7,140","11,440"
"Fayetteville-Springdale-Rogers, AR Metro Area","","","","","","","","","","","","",""
"    Estimate","2,697","24,250","36,559","6,427","51,047","19,762","3,755","15,500","32,613","62,231","24,300","15,460","5,759"
"Flagstaff, AZ Metro Area","","","","","","","","","","","","",""
"    Estimate","743","4,505","4,774","935","5,422","3,974","1,302","2,957","6,019","21,219","13,286","3,497","2,853"
"Flint, MI Metro Area","","","","","","","","","","","","",""
"    Estimate","887","11,228","30,423","3,307","23,142","8,404","1,341","9,323","16,386","42,776","16,553","9,334","6,764"
"Florence, SC Metro Area","","","","","","","","","","","","",""
"    Estimate","517","5,344","13,667","3,036","8,966","3,398","777","4,675","6,058","23,627","7,745","4,715","3,204"
"Florence-Muscle Shoals, AL Metro Area","","","","","","","","","","","","",""
"    Estimate","449","5,306","10,099","1,615","8,739","4,507","677","2,937","4,411","17,726","8,006","3,052","2,065"
"Fond du Lac, WI Metro Area","","","","","","","","","","","","",""
"    Estimate","2,057","5,280","13,305","1,136","6,760","2,020","201","2,327","3,190","10,156","2,939","1,761","2,598"
"Fort Collins-Loveland, CO Metro Area","","","","","","","","","","","","",""
"    Estimate","3,751","13,306","19,020","2,701","17,085","7,907","3,817","10,878","29,514","50,129","23,447","8,756","8,668"
"Fort Smith, AR-OK Metro Area","","","","","","","","","","","","",""
"    Estimate","1,838","6,774","16,821","2,353","11,941","7,093","1,502","5,248","9,230","21,452","9,404","4,974","4,041"
"Fort Wayne, IN Metro Area","","","","","","","","","","","","",""
"    Estimate","695","14,786","41,167","5,193","27,459","11,525","2,283","15,820","18,255","53,608","16,297","14,279","6,574"
"Fresno, CA Metro Area","","","","","","","","","","","","",""
"    Estimate","35,985","33,055","34,535","10,981","47,421","38,570","5,800","21,196","43,805","138,263","41,522","21,367","29,241"
"Gadsden, AL Metro Area","","","","","","","","","","","","",""
"    Estimate","607","2,771","7,594","1,820","5,150","1,290","461","1,927","2,419","10,264","2,956","2,226","1,712"
"Gainesville, FL Metro Area","","","","","","","","","","","","",""
"    Estimate","2,722","8,808","7,074","2,466","16,965","5,633","821","9,863","18,593","63,412","13,144","8,669","8,655"
"Gainesville, GA Metro Area","","","","","","","","","","","","",""
"    Estimate","881","10,355","15,483","2,906","11,203","5,126","954","4,791","14,497","20,342","8,652","6,295","3,190"
"Gettysburg, PA Metro Area","","","","","","","","","","","","",""
"    Estimate","2,031","4,916","8,003","1,126","5,454","2,726","839","2,636","4,159","11,783","4,683","3,418","3,266"
"Glens Falls, NY Metro Area","","","","","","","","","","","","",""
"    Estimate","760","4,323","6,129","1,026","6,995","3,398","960","2,829","7,003","13,717","5,666","3,715","4,416"
"Goldsboro, NC Metro Area","","","","","","","","","","","","",""
"    Estimate","1,351","3,798","6,925","870","7,249","2,185","411","2,482","3,145","12,224","3,658","2,555","2,431"
"Grand Forks, ND-MN Metro Area","","","","","","","","","","","","",""
"    Estimate","2,130","2,783","4,731","1,147","7,421","3,256","855","1,577","3,589","19,702","3,972","2,696","2,496"
"Grand Island, NE Metro Area","","","","","","","","","","","","",""
"    Estimate","2,791","3,574","7,665","726","3,979","2,178","360","2,337","2,032","7,851","2,643","1,643","952"
"Grand Junction, CO Metro Area","","","","","","","","","","","","",""
"    Estimate","1,684","7,743","4,515","1,563","7,646","4,332","846","3,887","9,175","19,033","7,162","3,094","3,812"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","","","","","","","","","","","","",""
"    Estimate","9,473","39,125","116,385","17,930","64,392","24,281","7,197","37,132","64,543","136,163","46,129","27,783","15,016"
"Grants Pass, OR Metro Area","","","","","","","","","","","","",""
"    Estimate","1,113","2,459","2,513","502","5,789","1,621","748","2,123","4,635","6,534","1,554","1,493","1,797"
"Great Falls, MT Metro Area","","","","","","","","","","","","",""
"    Estimate","600","2,063","2,983","244","5,013","2,556","95","2,643","2,463","12,420","4,068","2,064","1,888"
"Greeley, CO Metro Area","","","","","","","","","","","","",""
